sample_id,lake_name,year,date_sampled,parameter,sample_location,value
2372,Nauvoo,2015,20-Jul-15,Surface Area (ha),Epilimnion,15.38
2515,University,2016,10-Aug-16,Surface Area (ha),Epilimnion,3.24
2577,Oak,2017,17-Jul-17,Surface Area (ha),Epilimnion,0.81
2580,Crosley,2017,17-Jul-17,Surface Area (ha),Epilimnion,5.67
2597,Sylvan,2017,11-Jul-17,Surface Area (ha),Epilimnion,254.96
2636,Golden,2018,25-Jun-18,Surface Area (ha),Epilimnion,48.16
2644,Hogback,2018,25-Jun-18,Surface Area (ha),Epilimnion,59.09
2680,Nauvoo,2018,16-Jul-18,Surface Area (ha),Epilimnion,15.38
2386,Prairie Creek Reservoir,2015,27-Jul-15,Surface Area (ha),Epilimnion,492.12
2494,Eagle Creek Reservoir,2016,3-Aug-16,Surface Area (ha),Epilimnion,611.1
2655,Scales,2018,2-Jul-18,Surface Area (ha),Epilimnion,26.71
2692,Webster,2018,24-Jul-18,Surface Area (ha),Epilimnion,313.24
2329,Crane,2015,30-Jun-15,Surface Area (ha),Epilimnion,11.33
2333,Martin,2015,29-Jun-15,Surface Area (ha),Epilimnion,10.52
2490,Sawmill,2016,26-Jul-16,Surface Area (ha),Epilimnion,10.93
2614,Mississinewa Reservoir,2017,8-Aug-17,Surface Area (ha),Epilimnion,1286.95
2401,Geist Reservoir,2015,5-Aug-15,Surface Area (ha),Epilimnion,728.46
2416,Manitou,2015,10-Aug-15,Surface Area (ha),Epilimnion,288.55
2476,Ferdinand City Old,2016,18-Jul-16,Surface Area (ha),Epilimnion,6.07
2573,Miller (Chain-O),2017,17-Jul-17,Surface Area (ha),Epilimnion,4.45
2575,Dock,2017,17-Jul-17,Surface Area (ha),Epilimnion,6.48
2592,Steinbarger,2017,24-Jul-17,Surface Area (ha),Epilimnion,29.54
2710,Prarie Creek Res.,2018,30-Jul-18,Surface Area (ha),Epilimnion,492.12
2334,Bear,2015,29-Jun-15,Surface Area (ha),Epilimnion,55.04
2343,Royer,2015,6-Jul-15,Surface Area (ha),Epilimnion,27.92
2462,Gilbert,2016,12-Jul-16,Surface Area (ha),Epilimnion,14.16
2581,Versailles,2017,17-Jul-17,Surface Area (ha),Epilimnion,93.08
2582,Molenkramer Res,2017,17-Jul-17,Surface Area (ha),Epilimnion,37.64
2609,Sawmill,2017,7-Aug-17,Surface Area (ha),Epilimnion,10.93
2685,Sand,2018,17-Jul-18,Surface Area (ha),Epilimnion,19.02
2699,Shakamak,2018,26-Jul-18,Surface Area (ha),Epilimnion,22.66
2520,Bartley,2016,16-Aug-16,Surface Area (ha),Epilimnion,13.76
2583,Bischoff Res.,2017,17-Jul-17,Surface Area (ha),Epilimnion,80.94
2585,Woods (Big Blue #3),2017,17-Jul-17,Surface Area (ha),Epilimnion,17.81
2590,Nasby Mill Pond,2017,24-Jul-17,Surface Area (ha),Epilimnion,14.16
2669,Potato Cr. (Worster),2018,9-Jul-18,Surface Area (ha),Epilimnion,132.34
2695,Little Chapman,2018,24-Jul-18,Surface Area (ha),Epilimnion,48.56
2706,Starve Hollow,2018,30-Jul-18,Surface Area (ha),Epilimnion,58.68
