sample_id,lake_name,lake_type,ecoregion_3,year,date_sampled,parameter,value
2538,Story (Upper),Natural Lake,MI-IN Till Plain,2017,19-Jun-17,Secchi Depth (m),1.7
2647,Port Mitchell,Natural Lake,MI-IN Till Plain,2018,26-Jun-18,Secchi Depth (m),1.4
2652,Prides Creek,Impoundment,Interior River Lowland,2018,2-Jul-18,Secchi Depth (m),1.2
2352,Fish (Upper),Natural Lake,MI-IN Till Plain,2015,14-Jul-15,Secchi Depth (m),1.2
2372,Nauvoo,Natural Lake,MI-IN Till Plain,2015,20-Jul-15,Secchi Depth (m),0.9
2515,University,Impoundment,Interior River,2016,10-Aug-16,Secchi Depth (m),1.1
2577,Oak,Impoundment,Eastern Corn Belt Plain,2017,17-Jul-17,Secchi Depth (m),0.7
2580,Crosley,Impoundment,Eastern Corn Belt Plain,2017,17-Jul-17,Secchi Depth (m),1.1
2597,Sylvan,Impoundment,MI-IN Till Plain,2017,11-Jul-17,Secchi Depth (m),1.2
2636,Golden,Natural Lake,MI-IN Till Plain,2018,25-Jun-18,Secchi Depth (m),1
2644,Hogback,Natural Lake,MI-IN Till Plain,2018,25-Jun-18,Secchi Depth (m),1.2
2680,Nauvoo,Natural Lake,MI-IN Till Plain,2018,16-Jul-18,Secchi Depth (m),1.3
2386,Prairie Creek Reservoir,Impoundment,Eastern Corn Belt Plain,2015,27-Jul-15,Secchi Depth (m),1.2
2494,Eagle Creek Reservoir,Impoundment,Eastern Corn Belt Plain,2016,3-Aug-16,Secchi Depth (m),1.25
2655,Scales,Surface Mine Lake,Interior River Lowland,2018,2-Jul-18,Secchi Depth (m),1.4
2692,Webster,Natural Lake,MI-IN Till Plain,2018,24-Jul-18,Secchi Depth (m),1.3
2329,Crane,Natural Lake,MI-IN Till Plain,2015,30-Jun-15,Secchi Depth (m),1.3
2333,Martin,Natural Lake,MI-IN Till Plain,2015,29-Jun-15,Secchi Depth (m),1.4
2490,Sawmill,Natural Lake,MI-IN Till Plain,2016,26-Jul-16,Secchi Depth (m),0.8
2614,Mississinewa Reservoir,Impoundment,Eastern Corn Belt Plain,2017,8-Aug-17,Secchi Depth (m),1.1
2401,Geist Reservoir,Impoundment,Eastern Corn Belt Plain,2015,5-Aug-15,Secchi Depth (m),1
2416,Manitou,Natural Lake,MI-IN Till Plain,2015,10-Aug-15,Secchi Depth (m),0.4
2476,Ferdinand City Old,Impoundment,Interior River Lowland,2016,18-Jul-16,Secchi Depth (m),1.6
2573,Miller (Chain-O),Natural Lake,MI-IN Till Plain,2017,17-Jul-17,Secchi Depth (m),1.1
2575,Dock,Natural Lake,MI-IN Till Plain,2017,17-Jul-17,Secchi Depth (m),1
2592,Steinbarger,Natural Lake,MI-IN Till Plain,2017,24-Jul-17,Secchi Depth (m),1.1
2710,Prarie Creek Res.,Impoundment,Eastern Corn Belt Plain,2018,30-Jul-18,Secchi Depth (m),1.2
2334,Bear,Natural Lake,MI-IN Till Plain,2015,29-Jun-15,Secchi Depth (m),1.2
2343,Royer,Natural Lake,MI-IN Till Plain,2015,6-Jul-15,Secchi Depth (m),0.8
2462,Gilbert,Natural Lake,Central Corn Belt Plain,2016,12-Jul-16,Secchi Depth (m),0.75
2581,Versailles,Impoundment,Eastern Corn Belt Plain,2017,17-Jul-17,Secchi Depth (m),0.3
2582,Molenkramer Res,Impoundment,Eastern Corn Belt Plain,2017,17-Jul-17,Secchi Depth (m),0.3
2609,Sawmill,Natural Lake,MI-IN Till Plain,2017,7-Aug-17,Secchi Depth (m),1.1
2685,Sand,Natural Lake,MI-IN Till Plain,2018,17-Jul-18,Secchi Depth (m),1.5
2699,Shakamak,Impoundment,Interior River Lowland,2018,26-Jul-18,Secchi Depth (m),1
2520,Bartley,Natural Lake,MI-IN Till Plain,2016,16-Aug-16,Secchi Depth (m),1
2583,Bischoff Res.,Impoundment,Eastern Corn Belt Plain,2017,17-Jul-17,Secchi Depth (m),0.6
2585,Woods (Big Blue #3),Impoundment,Eastern Corn Belt Plain,2017,17-Jul-17,Secchi Depth (m),0.5
2590,Nasby Mill Pond,Impoundment,MI-IN Till Plain,2017,24-Jul-17,Secchi Depth (m),1.3
2669,Potato Cr. (Worster),Impoundment,MI-IN Till Plain,2018,9-Jul-18,Secchi Depth (m),0.7
2695,Little Chapman,Natural Lake,MI-IN Till Plain,2018,24-Jul-18,Secchi Depth (m),1.2
2706,Starve Hollow,Impoundment,Eastern Corn Belt Plain,2018,30-Jul-18,Secchi Depth (m),1
2709,Middlefork Res.,Impoundment,Eastern Corn Belt Plain,2018,30-Jul-18,Secchi Depth (m),0.5
2376,Red Pine,Surface Mine Lake,Interior River Lowland,2015,22-Jul-15,Secchi Depth (m),1.8
2419,Cagles Mill (Cataract),Impoundment,Interior River,2015,11-Aug-15,Secchi Depth (m),0.6
2471,Brush Creek Reservoir,Impoundment,Eastern Corn Belt Plain,2016,19-Jul-16,Secchi Depth (m),0.8
2486,Shaffer,Impoundment,MI-IN Till Plain,2016,25-Jul-16,Secchi Depth (m),0.9
2487,Freeman,Impoundment,Eastern Corn Belt Plain,2016,25-Jul-16,Secchi Depth (m),1
2373,Ridinger,Natural Lake,MI-IN Till Plain,2015,21-Jul-15,Secchi Depth (m),0.5
2387,St. Joseph Reservoir,Impoundment,Eastern Corn Belt Plain,2015,27-Jul-15,Secchi Depth (m),0.35
2418,Mansfield Reservoir (Hardin),Impoundment,Interior River Lowland,2015,11-Aug-15,Secchi Depth (m),0.8
2457,Wolf,Natural Lake,Central Corn Belt Plain,2016,11-Jul-16,Secchi Depth (m),0.95
2519,Crane,Natural Lake,MI-IN Till Plain,2016,16-Aug-16,Secchi Depth (m),0.65
2546,Fish,Natural Lake,MI-IN Till Plain,2017,26-Jun-17,Secchi Depth (m),0.4
2591,Waldron,Natural Lake,MI-IN Till Plain,2017,24-Jul-17,Secchi Depth (m),1.1
2594,Loon,Natural Lake,MI-IN Till Plain,2017,25-Jul-17,Secchi Depth (m),0.9
2650,Baugher,Natural Lake,MI-IN Till Plain,2018,26-Jun-18,Secchi Depth (m),0.9
2703,Big Fry,Surface Mine Lake,Interior River Lowland,2018,26-Jul-18,Secchi Depth (m),1
2713,Cagles Mill (Cataract),Impoundment,Interior River,2018,31-Jul-18,Secchi Depth (m),0.9
2584,Manlove,Impoundment,Eastern Corn Belt Plain,2017,17-Jul-17,Secchi Depth (m),0.4
2569,Riddles,Natural Lake,MI-IN Till Plain,2017,17-Jul-17,Secchi Depth (m),0.6
2697,Little Pike,Natural Lake,MI-IN Till Plain,2018,24-Jul-18,Secchi Depth (m),0.8
2510,Lemon,Impoundment,Interior River,2016,10-Aug-16,Secchi Depth (m),0.5
