sample_id,lake_name,ecoregion_3,year,date_sampled,parameter,sample_location,value
2546,Fish,MI-IN Till Plain,2017,26-Jun-17,Surface Area (ha),Average,40.47
2591,Waldron,MI-IN Till Plain,2017,24-Jul-17,Surface Area (ha),Average,87.42
2594,Loon,MI-IN Till Plain,2017,25-Jul-17,Surface Area (ha),Average,6.07
2650,Baugher,MI-IN Till Plain,2018,26-Jun-18,Surface Area (ha),Average,12.95
2703,Big Fry,Interior River Lowland,2018,26-Jul-18,Surface Area (ha),Average,1.82
2713,Cagles Mill (Cataract),Interior River,2018,31-Jul-18,Surface Area (ha),Average,566.58
2584,Manlove,Eastern Corn Belt Plain,2017,17-Jul-17,Surface Area (ha),Average,6.07
2569,Riddles,MI-IN Till Plain,2017,17-Jul-17,Surface Area (ha),Average,31.16
2697,Little Pike,MI-IN Till Plain,2018,24-Jul-18,Surface Area (ha),Average,10.12
2510,Lemon,Interior River,2016,10-Aug-16,Surface Area (ha),Average,667.76
2633,Fish,MI-IN Till Plain,2018,25-Jun-18,Surface Area (ha),Average,23.88
2696,Pike,MI-IN Till Plain,2018,24-Jul-18,Surface Area (ha),Average,82.15
2330,Port Mitchell,MI-IN Till Plain,2015,30-Jun-15,Surface Area (ha),Average,6.07
2381,Carr,MI-IN Till Plain,2015,28-Jul-15,Surface Area (ha),Average,25.9
2447,McClures,MI-IN Till Plain,2016,28-Jun-16,Surface Area (ha),Average,12.95
2503,Palestine,MI-IN Till Plain,2016,1-Aug-16,Surface Area (ha),Average,93.89
2556,Dale Reservoir,Interior River Lowland,2017,10-Jul-17,Surface Area (ha),Average,13.36
2668,Riddles,MI-IN Till Plain,2018,9-Jul-18,Surface Area (ha),Average,31.16
2702,Impoundment No. 26,Interior River Lowland,2018,26-Jul-18,Surface Area (ha),Average,19.02
2342,Shipshewana,MI-IN Till Plain,2015,6-Jul-15,Surface Area (ha),Average,81.75
2371,Mud (Chain of Lakes),MI-IN Till Plain,2015,21-Jul-15,Surface Area (ha),Average,3.24
2415,King,MI-IN Till Plain,2015,10-Aug-15,Surface Area (ha),Average,7.69
2445,Muncie,MI-IN Till Plain,2016,28-Jun-16,Surface Area (ha),Average,19.02
2459,George (Hobart),Central Corn Belt Plain,2016,11-Jul-16,Surface Area (ha),Average,109.27
2481,Green Valley,Central Corn Belt Plain,2016,27-Jul-16,Surface Area (ha),Average,20.24
2497,Sellers,MI-IN Till Plain,2016,1-Aug-16,Surface Area (ha),Average,12.95
2675,J.C. Murphy,Central Corn Belt Plain,2018,10-Jul-18,Surface Area (ha),Average,485.64
2460,Cedar,Central Corn Belt Plain,2016,11-Jul-16,Surface Area (ha),Average,316.07
2484,Bass,MI-IN Till Plain,2016,25-Jul-16,Surface Area (ha),Average,544.32
2493,Cagles Mill (Cataract),Interior River,2016,3-Aug-16,Surface Area (ha),Average,566.58
2595,Robinson,MI-IN Till Plain,2017,25-Jul-17,Surface Area (ha),Average,23.88
2637,Steinbarger,MI-IN Till Plain,2018,26-Jun-18,Surface Area (ha),Average,29.54
2480,Sullivan,Interior River Lowland,2016,27-Jul-16,Surface Area (ha),Average,205.18
2686,Bowen,MI-IN Till Plain,2018,17-Jul-18,Surface Area (ha),Average,12.14
2707,Versailles,Eastern Corn Belt Plain,2018,30-Jul-18,Surface Area (ha),Average,93.08
2339,Loon,MI-IN Till Plain,2015,7-Jul-15,Surface Area (ha),Average,6.07
2656,Ferdinand City New,Interior River,2018,2-Jul-18,Surface Area (ha),Average,4.05
2708,Woods (Big Blue #3),Eastern Corn Belt Plain,2018,30-Jul-18,Surface Area (ha),Average,17.81
2338,Larwill,MI-IN Till Plain,2015,7-Jul-15,Surface Area (ha),Average,4.05
